company_name,source,source_url,company_type,headquarters,founded_year
25,wikipedia_live,https://en.wikipedia.org/wiki/List_of_insurance_companies_in_India,Private,Mumbai,2010.0
26,wikipedia_live,https://en.wikipedia.org/wiki/List_of_insurance_companies_in_India,Private,Jaipur,2008.0
27,wikipedia_live,https://en.wikipedia.org/wiki/List_of_insurance_companies_in_India,Private,Chennai,2006.0
28,wikipedia_live,https://en.wikipedia.org/wiki/List_of_insurance_companies_in_India,Private,Mumbai,2001.0
29,wikipedia_live,https://en.wikipedia.org/wiki/List_of_insurance_companies_in_India,Govt.,New Delhi,1947.0
30,wikipedia_live,https://en.wikipedia.org/wiki/List_of_insurance_companies_in_India,Govt.,Chennai,1938.0
31,wikipedia_live,https://en.wikipedia.org/wiki/List_of_insurance_companies_in_India,Private,Mumbai,2007.0
32,wikipedia_live,https://en.wikipedia.org/wiki/List_of_insurance_companies_in_India,Private,Hyderabad,2023.0
33,wikipedia_live,https://en.wikipedia.org/wiki/List_of_insurance_companies_in_India,Private,Chennai,2023.0
HDFC ERGO General Insurance Company,wikipedia_live,https://en.wikipedia.org/wiki/List_of_insurance_companies_in_India,Private,Mumbai,
Star Health and Allied Insurance,wikipedia_live,https://en.wikipedia.org/wiki/List_of_insurance_companies_in_India,Private,Chennai,
ICICI Lombard,wikipedia_live,https://en.wikipedia.org/wiki/List_of_insurance_companies_in_India,Private,Mumbai,
Niva Bupa Health Insurance,wikipedia_live,https://en.wikipedia.org/wiki/List_of_insurance_companies_in_India,Private,New Delhi,
Care Health Insurance Ltd,wikipedia_live,https://en.wikipedia.org/wiki/List_of_insurance_companies_in_India,Private,Gurugram,
Aditya Birla Health Insurance,wikipedia_live,https://en.wikipedia.org/wiki/List_of_insurance_companies_in_India,Private,Mumbai,
Tata AIG General Insurance,wikipedia_live,https://en.wikipedia.org/wiki/List_of_insurance_companies_in_India,Private,Mumbai,
Zurich Kotak General Insurance,wikipedia_live,https://en.wikipedia.org/wiki/List_of_insurance_companies_in_India,Private,Mumbai,
Bajaj Allianz General Insurance,wikipedia_live,https://en.wikipedia.org/wiki/List_of_insurance_companies_in_India,Private,Pune,
IFFCO TOKIO General Insurance,wikipedia_live,https://en.wikipedia.org/wiki/List_of_insurance_companies_in_India,Private,Gurugram,
New India Assurance,wikipedia_live,https://en.wikipedia.org/wiki/List_of_insurance_companies_in_India,Govt.,Mumbai,
Universal Sompo General Insurance Company,wikipedia_live,https://en.wikipedia.org/wiki/List_of_insurance_companies_in_India,Private,Mumbai,
Cholamandalam MS General Insurance,wikipedia_live,https://en.wikipedia.org/wiki/List_of_insurance_companies_in_India,Private,Chennai,
Go Digit Insurance,wikipedia_live,https://en.wikipedia.org/wiki/List_of_insurance_companies_in_India,Private,Pune,
Reliance General Insurance,wikipedia_live,https://en.wikipedia.org/wiki/List_of_insurance_companies_in_India,Private,Mumbai,
Manipal Cigna Health Insurance Company Limited,wikipedia_live,https://en.wikipedia.org/wiki/List_of_insurance_companies_in_India,Private,Mumbai,
