company_name,source,source_url,scraped_at,extraction_success,kpis_extracted,new_business_premium_cr,data_as_of,solvency_ratio,claim_settlement_ratio_pct,policies_issued,persistency_ratio_13m
Pramerica Life Insurance,company_website_live,https://pramericalife.in//admin/assets/pdf/pdfST/1746601104-E-Voting - Q3 FY 2024-2025.pdf,2026-05-10T19:44:37.839841,True,0,,FY2024-2025 Q3,,,,
Shriram Life Insurance,company_website_live,https://cdn.shriramlife.com/slic-kalam/files/2024-01/SLIC_Handy_Service_Manual.pdf,2026-05-10T19:44:47.424594,True,0,,FY2024-01 Q4,,,,
Bharti Life Insurance Company Limited,company_website_live,https://www.bhartiaxa.com/sites/default/files/2026-04/corporate-agent-list-march-2026.pdf,2026-05-10T19:44:54.777386,True,0,,FY2026-04 Mar,,,,
Bharti Life Insurance Company Limited,company_website_live,https://www.bhartiaxa.com/sites/default/files/2025-07/policy-for-protection-of-interests-of-policyholders_V13.pdf,2026-05-10T19:44:54.777389,True,1,,FY2025-07 Q4,,,13.0,
Bharti Life Insurance Company Limited,company_website_live,https://www.bhartiaxa.com/sites/default/files/pdf/Bharti-AXA-Life-Insurance-Fraud-contol-policy-February-2022.pdf,2026-05-10T19:44:54.777391,True,0,,FY2023-24 Feb,,,,
IndusInd Nippon Life Insurance Company Limited,company_website_live,https://www.indusindnipponlife.com/documents/34625/300934/130760522026209974.pdf,2026-05-10T19:46:26.001754,True,0,,FY2023-24 Q4,,,,
IndusInd Nippon Life Insurance Company Limited,company_website_live,https://www.indusindnipponlife.com/documents/34625/34750/Active+Agent+List+as+on+30th+April-2026.pdf,2026-05-10T19:46:26.001765,True,0,,FY2023-24 Apr,,,,
Aviva Life Insurance,company_website_live,https://www.avivaindia.com/sites/default/files/ombudsaman-list-april-2026.pdf,2026-05-10T19:46:38.072372,True,0,,FY2023-24 Apr,,,,
Aviva Life Insurance,company_website_live,https://www.avivaindia.com/sites/default/files/Grievance-Redressal-policy-2025v1.pdf,2026-05-10T19:46:38.072376,True,0,,FY2023-24 Q4,,,,
Aviva Life Insurance,company_website_live,https://www.avivaindia.com/sites/default/files/gro-list-may-26.pdf,2026-05-10T19:46:38.072377,True,0,,FY2023-24 May,,,,
Star Union Dai-ichi Life Insurance,not_found,https://www.sudlife.in/public-disclosure,2026-05-10T19:46:46.219248,False,0,,FY2023-24 Q4,,,,
Aegon Life Insurance,company_website_live,https://www.aegonlife.com/sites/default/files/asset/2026-02/Citizens-Charter.pdf,2026-05-10T19:46:53.464053,True,1,,FY2026-02 Q4,,1.0,,
Aegon Life Insurance,company_website_live,https://www.bandhanlife.com/sites/default/files/asset/2026-04/Electronic-Insurance-Account-%28e-IA%29.pdf,2026-05-10T19:46:53.464057,True,0,,FY2026-04 Q4,,,,
Aegon Life Insurance,company_website_live,https://www.bandhanlife.com/sites/default/files/asset/2026-02/BANDHAN-HR-PO-11_WHISTLE%20BLOWER%20POLICY_Feb%2726%20-%20website.pdf,2026-05-10T19:46:53.464059,True,0,,FY2026-02 Feb,,,,
Bandhan Life Insurance,company_website_live,https://www.bandhanlife.com/sites/default/files/asset/2026-03/Stewardship%20Policy_Mar26.pdf,2026-05-10T19:47:00.988942,True,1,,FY2026-03 Mar,,5.0,,
Bandhan Life Insurance,company_website_live,https://www.bandhanlife.com/sites/default/files/asset/2026-02/Citizens-Charter.pdf,2026-05-10T19:47:00.988946,True,1,,FY2026-02 Q4,,1.0,,
Bandhan Life Insurance,company_website_live,https://www.bandhanlife.com/sites/default/files/asset/2026-04/Electronic-Insurance-Account-%28e-IA%29.pdf,2026-05-10T19:47:00.988947,True,0,,FY2026-04 Q4,,,,
Credit Access Life Insurance,not_found,https://calife.in/public-disclosures/,2026-05-10T19:47:09.426203,False,0,,FY2023-24 Q4,,,,
Sahara India Life Insurance,not_found,https://www.saharalife.com/AnnualReport.html,2026-05-10T19:49:09.811791,False,0,,FY2023-24 Q4,,,,
Acko Life Insurance Limited,company_website_live,https://acko-cms.ackoassets.com/ACKO_Life_Insurance_Public_Disclosure_Mar_2025_ca1d2c4923.pdf,2026-05-10T19:52:41.333911,True,3,98.0,FY2023-24 Mar,33.0,,42.0,
Acko Life Insurance Limited,company_website_live,https://acko-cms.ackoassets.com/ACKO_Life_Insurance_Public_Disclosure_Jun_2025_cbb462b0e0.pdf,2026-05-10T19:52:41.333917,True,3,75.0,FY2023-24 Jun,32.0,,42.0,
Acko Life Insurance Limited,company_website_live,https://acko-cms.ackoassets.com/ACKO_Life_Insurance_Public_Disclosure_Sep_2025_59f3905a83.pdf,2026-05-10T19:52:41.333918,True,4,31.1,FY2023-24 Sep,31.0,1.0,37.0,
Go Digit Life Insurance Limited,company_website_live,https://www.godigit.com/content/dam/godigit/life/financials/public-disclosures/public-disclosure-june-2025.pdf,2026-05-10T19:53:14.846072,True,4,19.3,FY2023-24 Jun,47.0,4.0,37.0,
Go Digit Life Insurance Limited,company_website_live,https://www.godigit.com/content/dam/godigit/life/financials/public-disclosures/public-disclosure-september-2025.pdf,2026-05-10T19:53:14.846076,True,4,34.0,FY2023-24 Sep,47.0,2.0,37.0,
Go Digit Life Insurance Limited,company_website_live,https://www.godigit.com/content/dam/godigit/life/financials/public-disclosures/public-disclosure-december-2025.pdf,2026-05-10T19:53:14.846077,True,4,35.5,FY2023-24 Dec,47.0,7.0,57.0,
Ageas Federal Life Insurance Company Limited,company_website_live,https://content.ageasfederal.com/blob/Public_Disclosure_June_2024_version_1_2_dated_25_07_2025_V1_e0e832fd46.pdf,2026-05-10T19:53:51.580600,True,4,193.92,FY2023-24 Jun,322.0,2.0,37.0,
Ageas Federal Life Insurance Company Limited,company_website_live,https://content.ageasfederal.com/blob/Public_Disclosure_for_the_quarter_ended_September_2025_1_af1e6bd247.pdf,2026-05-10T19:53:51.580604,True,4,17150.0,FY2023-24 Sep,273.84,48.0,31546.0,
Ageas Federal Life Insurance Company Limited,company_website_live,https://content.ageasfederal.com/blob/Public_Disclosure_for_the_quarter_ended_March_2025_1_85bd1ee6d6.pdf,2026-05-10T19:53:51.580605,True,3,9902.0,FY2023-24 Mar,297.41,,64283.0,
