company_name,source,source_url,scraped_at,extraction_success,kpis_extracted,new_business_premium_cr,data_as_of,solvency_ratio,claim_settlement_ratio_pct,policies_issued,persistency_ratio_13m
SBI Life Insurance,company_website_live,https://www.sbilife.co.in/documents/20118/585639/SBI+Life+-+Consolidated+Unclaimed+Dividend+List+FY+2019+to+FY+2025.pdf/226dc545-febf-f4fc-a472-f80715d87a70?version=1.1&t=1774587647104,2026-05-10T19:25:18.724865,True,1,412114.0,FY2023-24 Feb,,,,
SBI Life Insurance,company_website_live,https://www.sbilife.co.in/documents/20118/585639/SBI+Life+-+Unclaimed+Dividend+List-FY+2023-24.pdf/1419c2e5-0683-afee-5d2b-482b4c14de74?version=1.1&t=1774587647104,2026-05-10T19:25:18.724870,True,1,412114.0,FY2023-24 Q4,,,,
SBI Life Insurance,company_website_live,https://www.sbilife.co.in/documents/20118/962016/Committee+Composition+w.e.f.+January+28%2C+2026.pdf/ea574f8f-6372-7920-a0ad-09890d851f94?t=1774587646558,2026-05-10T19:25:18.724871,True,0,,FY2023-24 Jan,,,,
HDFC Life Insurance,company_website_live,https://www.hdfclife.com/content/dam/hdfclifeinsurancecompany/footer/T-and-C-for-Policy-loan.pdf,2026-05-10T19:25:25.878400,True,0,,FY2023-24 Q4,,,,
ICICI Prudential Life Insurance,not_found,https://www.iciciprulife.com/about-us/investor-relations/yearly-public-disclosures.html,2026-05-10T19:25:34.718612,False,0,,FY2023-24 Q4,,,,
Axis Max Life Insurance Limited,company_website_live,https://www.axismaxlife.com/static-page/assets/homepage/assets/content/dam/neo/pdf/stewardship-code-for-max-life-insurance/max-life-insurance-quarterly-upload-Apr-June-2024.pdf,2026-05-10T19:25:43.182521,True,0,,FY2023-24 Apr,,,,
Axis Max Life Insurance Limited,company_website_live,https://www.axismaxlife.com/static-page/assets/homepage/assets/content/dam/neo/pdf/stewardship-code-for-max-life-insurance/max-life-insurance-quarterly-upload-Jan-Mar-2024.pdf,2026-05-10T19:25:43.182525,True,0,,FY2023-24 Jan,,,,
Axis Max Life Insurance Limited,company_website_live,https://www.axismaxlife.com/static-page/assets/homepage/assets/content/dam/neo/pdf/stewardship-code-for-max-life-insurance/max-life-insurance-quarterly-upload-Oct-Dec-2023.pdf,2026-05-10T19:25:43.182526,True,0,,FY2023-24 Oct,,,,
Bajaj Life Insurance Limited,company_website_live,https://www.bajajlifeinsurance.com/content/dam/balic-web/pdf/financialinformation/Distribution%20Channels%20List/List%20of%20Active%20Agents/Q1/Active-Agent-Lists-as-on-February-2026.pdf,2026-05-10T19:28:35.415124,True,0,,FY2023-24 Q1,,,,
Bajaj Life Insurance Limited,company_website_live,https://www.careratings.com/upload/CompanyFiles/PR/202503140317_Bajaj_Allianz_Life_Insurance_Company_Limited.pdf,2026-05-10T19:28:35.415129,True,2,100.0,FY2023-24 Q4,3.69,,,
Tata AIA Life Insurance,company_website_live,https://www.tataaia.com/content/dam/tataaialifeinsurancecompanylimited/pdf/public-disclosur/2025-26/quarter-1/Public-Disclosures-Q1-FY-2025-26.pdf,2026-05-10T19:28:57.137833,True,4,8.33,FY2025-26 Q1,48.0,25.0,167704.0,
Tata AIA Life Insurance,company_website_live,https://www.tataaia.com/content/dam/tataaialifeinsurancecompanylimited/pdf/Whistle-Blower-Policy-V11-1202026.pdf,2026-05-10T19:28:57.137837,True,0,,FY2023-24 Q4,,,,
Tata AIA Life Insurance,company_website_live,https://www.tataaia.com/content/dam/tataaialifeinsurancecompanylimited/footer/Nomination-Remuneration-Policy-May-2025.pdf,2026-05-10T19:28:57.137838,True,1,,FY2023-24 May,,3.0,,
Aditya Birla Sun Life Insurance,company_website_live,https://lifeinsurance.adityabirlacapital.com/uploads/Proxy_Voting_Details_of_voting_for_quarter_Q4_FY_25_ff42ba6148.pdf,2026-05-10T19:31:36.500282,True,0,,FY2023-24 Q4,,,,
Aditya Birla Sun Life Insurance,company_website_live,https://lifeinsurance.adityabirlacapital.com/uploads/Public_Disclosure_June_25_831c547f76.pdf,2026-05-10T19:31:36.500307,True,4,25.95,FY2023-24 Jun,32.0,6.0,216.0,
Aditya Birla Sun Life Insurance,company_website_live,https://lifeinsurance.adityabirlacapital.com/uploads/Public_Disclsoure_Sept_25_6059a943ac.pdf,2026-05-10T19:31:36.500308,True,5,6.65,FY2023-24 Sep,32.0,6.0,25.0,20.0
Kotak Mahindra Life Insurance,company_website_live,https://www.kotaklife.com/assets/images/uploads/why_kotak/list-of-our-gstin-registration-numbers.pdf,2026-05-10T19:31:43.970497,True,0,,FY2023-24 Q4,,,,
PNB MetLife India Insurance,company_website_live,https://www.pnbmetlife.com/content/dam/pnb-metlife/docs/financial_disclosure/Apr%20June-20%20FY%2020-21_tcm47-77654.pdf,2026-05-10T19:32:26.230967,True,2,25.0,FY2020-21 Apr,2.04,,,
PNB MetLife India Insurance,company_website_live,https://www.pnbmetlife.com/content/dam/pnb-metlife/docs/financial_disclosure/Apr_Sep_20_(FY_20-21).pdf,2026-05-10T19:32:26.230971,True,2,9.0,FY2023-24 Apr,1.97,,,
PNB MetLife India Insurance,company_website_live,https://www.pnbmetlife.com/content/dam/pnb-metlife/docs/financial_disclosure/Apr_March_21.pdf,2026-05-10T19:32:26.230972,True,2,54.79,FY2023-24 Mar,1.9,,,
Canara HSBC Life Insurance,company_website_live,https://www.canarahsbclife.com/content/dam/chli/pdf/public-disclosure/other-disclosure/stewardship-and-voting-policy/stewardship-policy-2026.pdf,2026-05-10T19:32:47.720065,True,0,,FY2023-24 Q4,,,,
Canara HSBC Life Insurance,company_website_live,https://www.canarahsbclife.com/content/dam/chli/pdf/public-disclosure/other-disclosure/quarterly-voting-report/a/voting-report-jan-mar-2026.pdf,2026-05-10T19:32:47.720069,True,0,,FY2023-24 Jan,,,,
Canara HSBC Life Insurance,company_website_live,https://www.canarahsbclife.com/content/dam/chli/pdf/public-disclosure/other-disclosure/ulip-disclosures/a/ulip-disclosure-march-2025.pdf,2026-05-10T19:32:47.720070,True,0,,FY2023-24 Mar,,,,
IndiaFirst Life Insurance,company_website_live,https://www.indiafirstlife.com/content/dam/ifliwebsite/footer-pdf/terminated-agents/terminated-for-disqualification-05-april-2026.pdf.coredownload.inline.pdf,2026-05-10T19:33:45.433248,True,0,,FY2023-24 Apr,,,,
IndiaFirst Life Insurance,company_website_live,https://www.indiafirstlife.com/content/dam/ifliwebsite/header/assistance-for-air-india-tragedy.pdf.coredownload.inline.pdf,2026-05-10T19:33:45.433260,True,0,,FY2023-24 Q4,,,,
Edelweiss Tokio Life Insurance,company_website_live,https://www.edelweisslife.in/documents/20121/3041181/ELI+Annual+Report+2024-2025.pdf/374b0b46-9cc3-bd9e-6c48-323d982ff8b3?download=true,2026-05-10T19:36:26.962422,True,4,5.13,FY2024-2025 Annual,3.0,99.29,49973.0,
Edelweiss Tokio Life Insurance,company_website_live,https://www.edelweisslife.in/documents/20121/1580895/ELI-Annual-Report-2023-2024.pdf/8e2355e4-d7b0-3ad9-aa6b-cf84b73d95fb?download=true,2026-05-10T19:36:26.962437,True,4,578.4,FY2023-2024 Annual,3.0,77.6,58361.0,
Edelweiss Tokio Life Insurance,company_website_live,https://www.edelweisslife.in/documents/20121/63564/ETLI+Annual+Report+2022-23.pdf/9e5b29bb-39e5-d734-17ae-f94636d71ece?download=true,2026-05-10T19:36:26.962443,True,4,13.0,FY2022-23 Annual,3.0,99.2,56596.0,
Generali Central Life Insurance Company Limited,company_website_live,https://www.generalicentrallife.com/img/cwprod/List_of_Individual_Agents_as_on_30_04_26_3a0cc62e46.pdf,2026-05-10T19:44:30.685863,True,0,,FY2023-24 Q4,,,,
Pramerica Life Insurance,company_website_live,https://pramericalife.in//admin/assets/pdf/pdfST/1776399596-E-Voting - Q4 FY 2025-2026.pdf,2026-05-10T19:44:37.839836,True,0,,FY2025-2026 Q4,,,,
Pramerica Life Insurance,company_website_live,https://pramericalife.in//admin/assets/pdf/pdfST/1746601145-E-Voting - Q4 FY 2024-2025.pdf,2026-05-10T19:44:37.839840,True,0,,FY2024-2025 Q4,,,,
