2026-05-09 12:51:31  INFO      scrapers.company_disclosure_scraper_v2 —     Found 0 PDF(s) on public-notice.html
2026-05-09 12:51:32  INFO      scrapers.company_disclosure_scraper_v2 —     → No live data extracted for Bajaj Allianz Life Insurance
2026-05-09 12:51:34  INFO      scrapers.company_disclosure_scraper_v2 —   [ 6/23] Tata AIA Life Insurance
2026-05-09 12:51:35  INFO      scrapers.company_disclosure_scraper_v2 —     Found 0 PDF(s) on public-disclosures.html
2026-05-09 12:51:37  WARNING   scrapers.company_disclosure_scraper_v2 —     ✗ Page fetch failed [https://www.tataaia.com/investor-relations]: HTTPError
2026-05-09 12:51:39  WARNING   scrapers.company_disclosure_scraper_v2 —     ✗ Page fetch failed [https://www.tataaia.com/investor-relations]: HTTPError
2026-05-09 12:51:44  WARNING   scrapers.company_disclosure_scraper_v2 —     ✗ Page fetch failed [https://www.tataaia.com/investor-relations]: HTTPError
2026-05-09 12:51:44  INFO      scrapers.company_disclosure_scraper_v2 —     → No live data extracted for Tata AIA Life Insurance
2026-05-09 12:51:46  INFO      scrapers.company_disclosure_scraper_v2 —   [ 7/23] Aditya Birla Sun Life Insurance
2026-05-09 12:51:46  INFO      scrapers.company_disclosure_scraper_v2 —     Found 3 PDF(s) on public-disclosure
2026-05-09 12:51:46  WARNING   scrapers.company_disclosure_scraper_v2 —     ✗ PDF too large (56 MB), skipping.
2026-05-09 12:51:56  INFO      scrapers.company_disclosure_scraper_v2 —     ✓ Extracted 3 KPI(s)
2026-05-09 12:51:58  INFO      scrapers.company_disclosure_scraper_v2 —   [ 8/23] Kotak Mahindra Life Insurance
2026-05-09 12:51:58  WARNING   scrapers.company_disclosure_scraper_v2 —     ✗ Page fetch failed [https://insurance.kotak.com/about-us/corporate-governance/public-disclosures]: SSLError
2026-05-09 12:52:00  WARNING   scrapers.company_disclosure_scraper_v2 —     ✗ Page fetch failed [https://insurance.kotak.com/about-us/corporate-governance/public-disclosures]: SSLError
2026-05-09 12:52:04  WARNING   scrapers.company_disclosure_scraper_v2 —     ✗ Page fetch failed [https://insurance.kotak.com/about-us/corporate-governance/public-disclosures]: SSLError
2026-05-09 12:52:04  INFO      scrapers.company_disclosure_scraper_v2 —     Found 0 PDF(s) on corporate-governance
2026-05-09 12:52:06  INFO      scrapers.company_disclosure_scraper_v2 —     → No live data extracted for Kotak Mahindra Life Insurance
2026-05-09 12:52:08  INFO      scrapers.company_disclosure_scraper_v2 —   [ 9/23] PNB MetLife India Insurance
2026-05-09 12:52:08  INFO      scrapers.company_disclosure_scraper_v2 —     Found 4 PDF(s) on public-disclosures.html
2026-05-09 12:52:14  INFO      scrapers.company_disclosure_scraper_v2 —     ✓ Extracted 2 KPI(s)
2026-05-09 12:52:16  INFO      scrapers.company_disclosure_scraper_v2 —   [10/23] Canara HSBC Life Insurance
2026-05-09 12:52:17  INFO      scrapers.company_disclosure_scraper_v2 —     Found 35 PDF(s) on public-disclosures.html
2026-05-09 12:52:21  INFO      scrapers.company_disclosure_scraper_v2 —     Found 15 PDF(s) on public-disclosures
2026-05-09 12:52:42  INFO      scrapers.company_disclosure_scraper_v2 —     → No live data extracted for Canara HSBC Life Insurance
2026-05-09 12:52:44  INFO      scrapers.company_disclosure_scraper_v2 —   [11/23] IndiaFirst Life Insurance
2026-05-09 12:52:46  WARNING   scrapers.company_disclosure_scraper_v2 —     ✗ Page fetch failed [https://www.indiafirstlife.com/about-us/public-disclosure]: HTTPError
2026-05-09 12:52:50  WARNING   scrapers.company_disclosure_scraper_v2 —     ✗ Page fetch failed [https://www.indiafirstlife.com/about-us/public-disclosure]: HTTPError
2026-05-09 12:52:56  WARNING   scrapers.company_disclosure_scraper_v2 —     ✗ Page fetch failed [https://www.indiafirstlife.com/about-us/public-disclosure]: HTTPError
2026-05-09 12:52:58  INFO      scrapers.company_disclosure_scraper_v2 —     Found 0 PDF(s) on public-disclosure
2026-05-09 12:52:59  INFO      scrapers.company_disclosure_scraper_v2 —     → No live data extracted for IndiaFirst Life Insurance
2026-05-09 12:53:01  INFO      scrapers.company_disclosure_scraper_v2 —   [12/23] Edelweiss Tokio Life Insurance
2026-05-09 12:53:02  INFO      scrapers.company_disclosure_scraper_v2 —     Found 0 PDF(s) on public-disclosure
2026-05-09 12:53:03  WARNING   scrapers.company_disclosure_scraper_v2 —     ✗ Page fetch failed [https://www.edelweisslife.in/about-us/investors]: HTTPError
2026-05-09 12:53:06  WARNING   scrapers.company_disclosure_scraper_v2 —     ✗ Page fetch failed [https://www.edelweisslife.in/about-us/investors]: HTTPError
2026-05-09 12:53:10  WARNING   scrapers.company_disclosure_scraper_v2 —     ✗ Page fetch failed [https://www.edelweisslife.in/about-us/investors]: HTTPError
2026-05-09 12:53:10  INFO      scrapers.company_disclosure_scraper_v2 —     → No live data extracted for Edelweiss Tokio Life Insurance
2026-05-09 12:53:12  INFO      scrapers.company_disclosure_scraper_v2 —   [13/23] Future Generali India Life Insurance
2026-05-09 12:53:24  INFO      scrapers.company_disclosure_scraper_v2 —     Found 0 PDF(s) on public-disclosures
2026-05-09 12:53:25  INFO      scrapers.company_disclosure_scraper_v2 —     Found 4 PDF(s) on 2024-2025
2026-05-09 12:53:32  INFO      scrapers.company_disclosure_scraper_v2 —     ✓ Extracted 4 KPI(s)
2026-05-09 12:53:34  INFO      scrapers.company_disclosure_scraper_v2 —   [14/23] Pramerica Life Insurance
2026-05-09 12:53:35  INFO      scrapers.company_disclosure_scraper_v2 —     Found 63 PDF(s) on Public_Disclosure
2026-05-09 12:53:44  INFO      scrapers.company_disclosure_scraper_v2 —     ✓ Extracted 2 KPI(s)
2026-05-09 12:53:45  INFO      scrapers.company_disclosure_scraper_v2 —   [15/23] Shriram Life Insurance
2026-05-09 12:53:47  INFO      scrapers.company_disclosure_scraper_v2 —     Found 0 PDF(s) on publicdisclosure.aspx
2026-05-09 12:53:50  WARNING   scrapers.company_disclosure_scraper_v2 —     ✗ Page fetch failed [https://www.shriramlife.in/investor-relations]: HTTPError
